target_id	est_counts	tpm
ENSMUST00000081111.13	84.0000	877.7063
ENSMUST00000022099.14	169.3747	1769.7768
ENSMUST00000123766.7	5.6253	58.7779
ENSMUST00000177451.7	131.8824	1378.0234
ENSMUST00000111230.7	385.0000	4022.8204
ENSMUST00000063719.14	66.0000	689.6263
ENSMUST00000032183.5	105.0000	1097.1328
ENSMUST00000044579.11	60.4286	631.4110
ENSMUST00000150213.7	31.7634	331.8925
ENSMUST00000125024.7	23.2366	242.7961
ENSMUST00000054002.3	93.0000	971.7462
ENSMUST00000153941.7	36.0049	376.2107
ENSMUST00000144826.1	116.9951	1222.4686
ENSMUST00000074557.9	113.0000	1180.7239
ENSMUST00000223396.1	100.0000	1044.8884
ENSMUST00000015903.10	49.5000	517.2198
ENSMUST00000146629.1	49.5000	517.2198
ENSMUST00000008462.10	95.0000	992.6440
ENSMUST00000165853.1	35.5000	370.9354
ENSMUST00000030578.13	35.5000	370.9354
ENSMUST00000147842.1	33.2859	347.8005
ENSMUST00000114276.2	42.7141	446.3147
ENSMUST00000029358.14	192.0000	2006.1857
ENSMUST00000006523.11	29.0633	303.6790
ENSMUST00000077191.6	53.0000	553.7909
ENSMUST00000112172.3	137.2667	1434.2835
ENSMUST00000112176.7	4.7333	49.4581
ENSMUST00000132827.7	51.6434	539.6159
ENSMUST00000132484.6	19.2378	201.0137
ENSMUST00000035214.10	3.5000	36.5711
ENSMUST00000177158.1	3.5000	36.5711
ENSMUST00000028222.12	211.3712	2208.5929
ENSMUST00000055704.11	112.0000	1170.2750
ENSMUST00000001327.9	339.7584	3550.0966
ENSMUST00000216816.1	39.6667	414.4724
ENSMUST00000049263.8	39.6667	414.4724
ENSMUST00000217593.1	39.6667	414.4724
ENSMUST00000103203.7	0.1667	1.7415
ENSMUST00000179001.7	0.1667	1.7415
ENSMUST00000103202.9	0.1667	1.7415
ENSMUST00000161620.7	0.1667	1.7415
ENSMUST00000049262.13	0.1667	1.7415
ENSMUST00000099113.9	0.1667	1.7415
ENSMUST00000024627.13	256.9333	2684.6666
ENSMUST00000111610.10	71.5000	747.0952
ENSMUST00000164655.1	71.5000	747.0952
ENSMUST00000037099.8	114.0000	1191.1728
ENSMUST00000025979.12	103.6270	1082.7862
ENSMUST00000176939.7	15.5441	162.4181
ENSMUST00000150350.8	44.4749	464.7130
ENSMUST00000209467.1	0.0314	0.3279
ENSMUST00000042834.3	90.0000	940.3996
ENSMUST00000026989.14	195.4826	2042.5751
ENSMUST00000153065.7	1.5174	15.8551
ENSMUST00000090006.11	286.0000	2988.3808
ENSMUST00000040992.7	54.0000	564.2397
ENSMUST00000170157.7	27.1462	283.6480
ENSMUST00000010239.5	148.8538	1555.3556
ENSMUST00000071555.12	714.5456	7466.2041
ENSMUST00000106215.10	11.4431	119.5681
ENSMUST00000180278.1	65.8195	687.7408
ENSMUST00000030279.14	56.1805	587.0230
ENSMUST00000121542.1	54.3809	568.2196
ENSMUST00000119848.7	0.5092	5.3203
ENSMUST00000139754.7	0.0000	0.0000
ENSMUST00000080861.5	53.8542	562.7159
ENSMUST00000040402.13	67.0000	700.0752
ENSMUST00000111564.7	81.4799	851.3738
